FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2559105,936495,110910,EEL RIVER CHARTER SCHOOL,DSL,2,3
2559106,936498,142546,SHERIDAN CO SCHOOL DISTRICT #3,Fiber optic/OC-x,1,50
2559107,936287,134181,PARKSTON SCHOOL DISTRICT 33-3,DSL,1,3
2559107,936287,134181,PARKSTON SCHOOL DISTRICT 33-3,DSL,1,50
2559119,936498,142546,SHERIDAN CO SCHOOL DISTRICT #3,Cellular Wireless,11,2
2559120,936521,144023,ALVINA ELEMENTARY CHARTER SCHOOL DISTRICT,T1/DS-1,1,1.5
2559121,936487,88924,ST JEROME SCHOOL,T1/DS-1,1,1.5
2559125,936521,144023,ALVINA ELEMENTARY CHARTER SCHOOL DISTRICT,T1/DS-1,1,1.5
2559127,936521,144023,ALVINA ELEMENTARY CHARTER SCHOOL DISTRICT,T1/DS-1,1,1.5
2559130,936519,16067166,AMERICAN MONTESSORI ACADEMY,Cable,1,100
2559133,936519,16067166,AMERICAN MONTESSORI ACADEMY,Cellular Wireless,2,5
2559136,936519,16067166,AMERICAN MONTESSORI ACADEMY,DSL,1,6
2559143,936419,127354,FRANKLIN COUNTY SCHOOL DIST,Fiber optic/OC-x,7,50
2559143,936419,127354,FRANKLIN COUNTY SCHOOL DIST,Fiber optic/OC-x,1,100
2559144,936437,139197,SCOTTSBLUFF PUBLIC SCH DIST,Non-Cellular Wireless (e.g.microwave),1,120
2559146,936419,127354,FRANKLIN COUNTY SCHOOL DIST,Fiber optic/OC-x,1,500
2559153,936527,145109,COVE SCHOOL DISTRICT 15,Non-Cellular Wireless (e.g.microwave),1,100
2559154,936457,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",DSL,10,1.5
2559155,936544,144404,KNIGHTS FERRY ELEM SCHOOL DIST,T1/DS-1,1,1.5
2559156,936457,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",DSL,1,1.5
2559158,936544,144404,KNIGHTS FERRY ELEM SCHOOL DIST,Fiber optic/OC-x,1,10
2559159,936544,144404,KNIGHTS FERRY ELEM SCHOOL DIST,Fiber optic/OC-x,1,10
2559160,936457,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",Cable,1,16
2559174,936254,142768,CONSOLIDATED FREE LIBRARY DIST,Fiber optic/OC-x,1,70
2559175,936520,144318,FRANKLIN MCKINLEY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2559176,936457,16044291,"CAPSLO- COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY, INC.",Cable,1,15
2559183,936566,16035581,LAKE COUNTY INTERNATIONAL CHARTER SCHOOL,DSL,1,1
2559188,936566,16035581,LAKE COUNTY INTERNATIONAL CHARTER SCHOOL,DSL,1,18
2559189,936570,232370,NORTH VALLEY SCHOOL,T1/DS-1,7,1.5
2559190,936574,16075410,CENTROS SOR ISOLINA FERRE - ADM. CENTRAL,Fiber optic/OC-x,5,20
2559191,936589,110828,NORTH VALLEY SCHOOL,T1/DS-1,7,1.5
2559196,936609,201419,NORTH VALLEY SCHOOL,T1/DS-1,1,1.5
