FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2577127,941240,138830,SHELTON TOWNSHIP PUB LIBRARY,DSL,1,2
2577128,946644,11885,YESHIVA BOYAN,Cellular Wireless,25,4
2577131,946644,11885,YESHIVA BOYAN,Cellular Wireless,12,5
2577132,940345,131665,CHEBOYGAN AREA SCHOOL DISTRICT,Fiber optic/OC-x,1,40
2577137,946763,144574,GOLD TRAIL UNION ELEM SCH DIST,T1/DS-1,1,1.5
2577138,946644,11885,YESHIVA BOYAN,Non-Cellular Wireless (e.g.microwave),5,20
2577146,946764,128833,LAUREL COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,6,10000
2577150,942436,37425,ST AMBROSE ELEMENTARY SCHOOL,DSL,1,3
2577151,946775,128272,BRADLEY COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,19,1000
2577153,946745,16028933,WOODLAND SCHOOL DISTRICT 50,Cellular Wireless,73,1
2577154,940345,131665,CHEBOYGAN AREA SCHOOL DISTRICT,Cable,5,20
2577162,946758,147828,CARMEN PUBLIC LIBRARY,Fiber optic/OC-x,1,10
2577173,945595,136849,SALLIE LOGAN PUBLIC LIBRARY,Fiber optic/OC-x,1,11
2577176,946741,49345,DISCOVERY SCHOOL,Fiber optic/OC-x,1,50
2577183,946708,141870,PLEMONS-STINNETT-PHILLIPS CISD,Fiber optic/OC-x,1,100
2577184,946790,68973,GUERIN COLLEGE PREPARATORY HIGH SCHOOL,Cable,1,11
2577187,946597,138399,WEBERMEIER MEMORIAL LIBRARY,DSL,1,12
2577188,941409,100616,IMMACULATE HEART HIGH SCHOOL,Fiber optic/OC-x,1,50
2577192,946790,68973,GUERIN COLLEGE PREPARATORY HIGH SCHOOL,Cable,1,100
2577193,946790,68973,GUERIN COLLEGE PREPARATORY HIGH SCHOOL,Cellular Wireless,3,4
2577194,946790,68973,GUERIN COLLEGE PREPARATORY HIGH SCHOOL,Cable,1,100
2577198,946792,138260,LYONS-DECATUR N E SCHOOL DIST,Fiber optic/OC-x,1,100
2577206,946836,141536,STOCKDALE INDEP SCHOOL DIST,T1/DS-1,6,1.5
2577208,938643,16063833,SAN FRANCISCO FLEX ACADEMY,Fiber optic/OC-x,1,20
2577210,946792,138260,LYONS-DECATUR N E SCHOOL DIST,Fiber optic/OC-x,1,80
2577212,946786,225823,DELHI CHARTER SCHOOL,T1/DS-1,1,1.5
2577214,944401,138211,MOSCOW UNIFIED SCHOOL DIST 209,Cable,1,5
2577214,944401,138211,MOSCOW UNIFIED SCHOOL DIST 209,Dial-up,1,0.056
2577214,944401,138211,MOSCOW UNIFIED SCHOOL DIST 209,DSL,8,6
2577215,946792,138260,LYONS-DECATUR N E SCHOOL DIST,Dial-up,6,0.056
2577218,946813,20789,MALVERN PREPATORY SCHOOL,Cellular Wireless,20,6
2577220,945451,120339,HUDSON SCHOOL DISTRICT,Fiber optic/OC-x,6,35
2577220,945451,120339,HUDSON SCHOOL DISTRICT,Fiber optic/OC-x,2,150
2577223,946763,144574,GOLD TRAIL UNION ELEM SCH DIST,Cellular Wireless,2,4000
2577227,946813,20789,MALVERN PREPATORY SCHOOL,Fiber optic/OC-x,1,200
2577233,946787,159882,Rogers Public Library,Cable,1,28
2577236,942130,37992,BLESSED SACRAMENT CATHOLIC SCH,Cable,1,50
2577238,942130,37992,BLESSED SACRAMENT CATHOLIC SCH,Cellular Wireless,1,5
2577255,939703,213177,"MID FLORIDA COMMUNITY SERVICES, INC",DSL,15,5
2577255,939703,213177,"MID FLORIDA COMMUNITY SERVICES, INC",DSL,5,15
2577258,946829,68208,FAITH LUTHERAN HIGH SCHOOL,Cable,1,18
2577267,946830,145141,NORTH POWDER SCHOOL DIST 8 J,DSL,1,100
2577269,946833,74105,ST JOHN VIANNEY HIGH SCHOOL,Fiber optic/OC-x,1,100
2577271,946833,74105,ST JOHN VIANNEY HIGH SCHOOL,Cellular Wireless,10,7
2577272,946833,74105,ST JOHN VIANNEY HIGH SCHOOL,Fiber optic/OC-x,1,100
2577274,936925,16071738,EMPOWER COLLEGE PREP,Fiber optic/OC-x,1,100
2577278,946838,16055877,CHRIST OUR SAVIOR LUTHERAN HIGH SCHOOL,Non-Cellular Wireless (e.g.microwave),1,20
2577281,946754,12425,OUR LADY OF HOPE SCHOOL,Cable,1,50
2577289,946844,84647,ST CATHERINE SCHOOL,DSL,1,13
2577304,946845,16061066,DAVINCI ACADEMY,T1/DS-1,1,1.5
2577312,941100,57609,OUR LADY OF CONSOLATION SCHOOL,Cable,1,60
2577315,946767,140001,SHATTUCK PUBLIC LIBRARY,DSL,4,10
2577316,942463,37109,ST HELEN SCHOOL,Cable,1,20
2577319,946836,141536,STOCKDALE INDEP SCHOOL DIST,T3/DS-3,2,45
2577325,942458,37226,ST DAVID SCHOOL,Cable,9,5
2577328,942458,37226,ST DAVID SCHOOL,Cable,1,100
2577338,946848,223402,PACE CHARTER SCHOOL OF HAMILTON - LOWER SCHOOL,Cable,3,101
2577339,946848,223402,PACE CHARTER SCHOOL OF HAMILTON - LOWER SCHOOL,Fiber optic/OC-x,2,101
2577345,946856,16055553,RIVERBANK CHARTER SCHOOL OF EXCELLENCE,Cable,2,70
2577346,946675,59791,MARQUETTE HIGH SCHOOL/BELLEVUE,Fiber optic/OC-x,1,25
2577350,946800,80125,BROTHER MARTIN HIGH SCHOOL,Fiber optic/OC-x,1,150
2577354,937181,128596,LEFLORE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,250
2577358,942346,127235,CHESTERFIELD COUNTY LIBRARY,Cellular Wireless,1,1
2577365,946801,130579,COWAN COMM SCHOOL CORPORATION,Fiber optic/OC-x,1,40
2577375,946858,16068162,LIGHTHOUSE ACADEMY,Cellular Wireless,8,3
2577376,946858,16068162,LIGHTHOUSE ACADEMY,Fiber optic/OC-x,1,5
2577376,946858,16068162,LIGHTHOUSE ACADEMY,Fiber optic/OC-x,3,12
2577376,946858,16068162,LIGHTHOUSE ACADEMY,Fiber optic/OC-x,1,20
2577379,946860,136707,CENTRALIA SCHOOL DISTRICT 135,Fiber optic/OC-x,1,200
2577385,946860,136707,CENTRALIA SCHOOL DISTRICT 135,Fiber optic/OC-x,1,200
2577400,936229,131337,HARTFORD PUBLIC LIBRARY,Fiber optic/OC-x,1,50
2577412,946873,199482,DAVID ELLIS ACADEMY,Cellular Wireless,2,8
2577420,946873,199482,DAVID ELLIS ACADEMY,Cable,1,100
2577422,946840,138868,CLAY CENTER PUBLIC LIBRARY,DSL,1,12
2577427,946883,130907,NORTHVILLE PUBLIC SCHOOLS,Cellular Wireless,31,3
2577430,946883,130907,NORTHVILLE PUBLIC SCHOOLS,Fiber optic/OC-x,1,200
2577434,946884,16066354,NORTH COUNTY CHARTER SCHOOL,Cable,1,50
2577440,946882,145024,NORTH BEND SCHOOL DISTRICT 13,Fiber optic/OC-x,3,1000
2577463,942731,16038462,REPUBLIC COUNTY USD 109,Fiber optic/OC-x,1,50
2577464,942731,16038462,REPUBLIC COUNTY USD 109,Fiber optic/OC-x,1,100
2577466,946910,135138,NOXON SCHOOL DISTRICT 10,Fiber optic/OC-x,1,20
2577475,946803,49717,HOLY FAMILY CATHOLIC SCH CINCI,Fiber optic/OC-x,1,10
2577480,946911,130549,NEW ALBANY FLOYD COUNTY SCHOOL CORP.,Fiber optic/OC-x,1,500
2577487,946910,135138,NOXON SCHOOL DISTRICT 10,DSL,1,8
2577491,946912,134988,BOX ELDER SCHOOL DISTRICT 13-G,Cellular Wireless,6,2
2577493,946912,134988,BOX ELDER SCHOOL DISTRICT 13-G,Fiber optic/OC-x,1,100
2577504,941032,135029,MONTANA CITY SCHOOL DIST 27,Fiber optic/OC-x,1,30
2577511,946915,134986,BIG SANDY SCHOOL DISTRICT 2-11,Fiber optic/OC-x,1,100
2577514,946916,135093,SHERIDAN SCHOOL DISTRICT 5,DSL,1,15
2577518,946928,182896,ACADEMY OF OUR LADY OF GUAM,Dial-up,5,0.056
2577519,946928,182896,ACADEMY OF OUR LADY OF GUAM,Dial-up,1,0.056
2577520,946928,182896,ACADEMY OF OUR LADY OF GUAM,Cellular Wireless,1,0.056
2577521,946928,182896,ACADEMY OF OUR LADY OF GUAM,DSL,1,3.5
2577547,946928,182896,ACADEMY OF OUR LADY OF GUAM,Dial-up,1,0.056
2577549,946928,182896,ACADEMY OF OUR LADY OF GUAM,Dial-up,2,0.056
2577549,946928,182896,ACADEMY OF OUR LADY OF GUAM,T1/DS-1,9,1.5
2577550,946928,182896,ACADEMY OF OUR LADY OF GUAM,DSL,1,1
2577627,946990,9388,TIFERES BAIS YAAKOV SCHOOL,Cable,1,5
2577629,946990,9388,TIFERES BAIS YAAKOV SCHOOL,DSL,1,1.5
2577647,946990,9388,TIFERES BAIS YAAKOV SCHOOL,Cellular Wireless,1,3
2577648,946990,9388,TIFERES BAIS YAAKOV SCHOOL,Cellular Wireless,13,3
2577651,946990,9388,TIFERES BAIS YAAKOV SCHOOL,Fiber optic/OC-x,8,5
2577700,946923,11744,BETH CHANA SCHOOL FOR GIRLS,Cellular Wireless,20,3
2577701,946923,11744,BETH CHANA SCHOOL FOR GIRLS,Cellular Wireless,25,3
2577702,946923,11744,BETH CHANA SCHOOL FOR GIRLS,DSL,2,1.5
2577730,946924,134989,ROCKY BOY SCHOOL DISTRICT 87-J,Fiber optic/OC-x,1,100
2577747,946924,134989,ROCKY BOY SCHOOL DISTRICT 87-J,Fiber optic/OC-x,1,50
2577751,946924,134989,ROCKY BOY SCHOOL DISTRICT 87-J,Fiber optic/OC-x,1,50
2577754,946924,134989,ROCKY BOY SCHOOL DISTRICT 87-J,Cellular Wireless,1,3
2577759,947070,228595,GAN YISROEL,Cable,1,5
2577760,947070,228595,GAN YISROEL,Cable,12,5
2577764,947070,228595,GAN YISROEL,DSL,1,1.5
2577768,947070,228595,GAN YISROEL,Cellular Wireless,22,3
2577769,947070,228595,GAN YISROEL,Cellular Wireless,3,3
2577770,947070,228595,GAN YISROEL,Non-Cellular Wireless (e.g.microwave),3,3
2577772,947071,153066,CONGREGATION MACHZIKEI HADAS OF BELZ,DSL,1,1.5
2577774,947071,153066,CONGREGATION MACHZIKEI HADAS OF BELZ,Cellular Wireless,19,3
2577775,947071,153066,CONGREGATION MACHZIKEI HADAS OF BELZ,Cable,1,5
2577783,947073,16064105,TORAH SCHOOL OF DALLAS,Non-Cellular Wireless (e.g.microwave),10,10
2577796,947079,16062256,YESHIVA GEDOLA OF WOODLAKE VILLAGE INC.,Cable,1,5
2577797,947079,16062256,YESHIVA GEDOLA OF WOODLAKE VILLAGE INC.,Cellular Wireless,8,3
2577799,941776,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,100
2577801,941776,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,100
2577802,947085,141753,TEXAS SCHOOL FOR THE BLIND,Fiber optic/OC-x,2,1250
2577807,947079,16062256,YESHIVA GEDOLA OF WOODLAKE VILLAGE INC.,Fiber optic/OC-x,7,5
2577809,947083,16064105,TORAH SCHOOL OF DALLAS,Dial-up,1,0.056
2577810,947083,16064105,TORAH SCHOOL OF DALLAS,Cellular Wireless,1,3
2577811,947083,16064105,TORAH SCHOOL OF DALLAS,Cellular Wireless,5,3
2577816,947109,16072595,YESHIVAT YAGDIL TORAH,Cellular Wireless,3,3
2577820,947089,72811,BLESSED SACRAMENT  CATHOLIC SCHOOL,Fiber optic/OC-x,1,25
2577832,947118,141753,TEXAS SCHOOL FOR THE BLIND,T1/DS-1,2,1.5
2577834,947117,128833,LAUREL COUNTY SCHOOL DISTRICT,Cellular Wireless,68,24
2577837,947122,133608,LITCHFIELD SCHOOL DISTRICT 465,Cellular Wireless,10,300
2577839,940471,136116,ALWOOD SCHOOL DISTRICT 225,Fiber optic/OC-x,1,30
2577841,947102,141753,TEXAS SCHOOL FOR THE BLIND,Cellular Wireless,50,1000
2577853,940471,136116,ALWOOD SCHOOL DISTRICT 225,DSL,1,20
2577856,940471,136116,ALWOOD SCHOOL DISTRICT 225,Cellular Wireless,6,10
2577858,947094,37956,ST CECELIA INTERPAROCHIAL SCH,Cellular Wireless,5,2500
2577862,947157,138275,PENDER PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2577863,947157,138275,PENDER PUBLIC SCHOOL DISTRICT,Dial-up,11,0.056
2577871,947132,125359,PENN-TRAFFORD SCHOOL DISTRICT,Fiber optic/OC-x,1,250
2577874,944334,197579,GOODHUE COUNTY EDUCATION DISRTICT,T1/DS-1,1,1.5
2577878,947145,141753,TEXAS SCHOOL FOR THE BLIND,Cellular Wireless,8,5000
2577885,947161,155287,GILA COUNTY,DSL,2,40
2577888,947142,165171,SIGNATURE SCHOOL,Fiber optic/OC-x,1,50
2577892,947146,131221,ITHACA PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,9
2577907,947189,138248,HOMER COMMUNITY SCHOOL,Fiber optic/OC-x,1,100
2577909,947189,138248,HOMER COMMUNITY SCHOOL,Dial-up,5,0.056
2577910,947189,138248,HOMER COMMUNITY SCHOOL,Dial-up,5,0.056
2577914,947162,128680,GREENE COUNTY SCHOOL DISTRICT,DSL,1,10
2577934,947205,138606,CROFTON COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2577936,946820,153662,Three Rivers Regional Library System,T3/DS-3,2,45
2577939,947193,127434,JONES COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2577947,947205,138606,CROFTON COMM SCHOOL DISTRICT,Dial-up,2,0.056
2577950,947205,138606,CROFTON COMM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2577953,947205,138606,CROFTON COMM SCHOOL DISTRICT,Dial-up,11,0.056
2577955,947205,138606,CROFTON COMM SCHOOL DISTRICT,Dial-up,13,0.056
2577956,947180,136708,NORTH WAMAC SCHOOL DIST 186,T1/DS-1,1,1.5
2577972,947233,138567,ALLEN CONS SCHOOL DISTRICT 70,Fiber optic/OC-x,1,100
2577975,947233,138567,ALLEN CONS SCHOOL DISTRICT 70,Dial-up,4,0.056
2577978,947233,138567,ALLEN CONS SCHOOL DISTRICT 70,Cellular Wireless,5,3
2577979,944049,138778,KEARNEY PUBLIC LIBRARY,DSL,1,12
2577985,947218,4771,MATER CHRISTI SCHOOL,DSL,2,26
2577997,947239,1884,MAIMONIDES SCHOOL,Cellular Wireless,22,8
2577999,947239,1884,MAIMONIDES SCHOOL,Cable,1,10
2578003,947239,1884,MAIMONIDES SCHOOL,Cable,1,5
2578018,947218,4771,MATER CHRISTI SCHOOL,Cable,2,30
2578020,947214,65139,LYND ELEMENTARY SCHOOL,Cellular Wireless,2,4
2578021,947230,133194,HOWARD-SUAMICO SCHOOL DISTRICT,Fiber optic/OC-x,8,500
2578022,947238,16038507,CARTHAGE ELEMENTARY SCHOOL DISTRICT #317,Non-Cellular Wireless (e.g.microwave),1,45
2578024,945098,142035,WINTERS PUBLIC LIBRARY,DSL,1,150
2578030,947222,138717,WYNOT PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2578033,947222,138717,WYNOT PUBLIC SCHOOL DISTRICT,Dial-up,4,0.056
2578038,947249,10729,ST BARNABAS HIGH SCHOOL,Cable,1,32
2578045,942207,37764,INCARNATION CATHOLIC SCHOOL,Fiber optic/OC-x,1,20
2578046,947255,130209,SHERIDAN COMMUNITY SCHOOLS,Fiber optic/OC-x,1,45
2578050,945821,139885,CHATTANOOGA SCHOOL DIST 132,Fiber optic/OC-x,1,100
2578055,947180,136708,NORTH WAMAC SCHOOL DIST 186,Cellular Wireless,1,10
2578071,942207,37764,INCARNATION CATHOLIC SCHOOL,Cellular Wireless,7,8
2578082,947260,155287,GILA COUNTY,T1/DS-1,1,1.5
2578085,947262,16040956,DAVID ELLIS ACADEMY-WEST,Cellular Wireless,3,5
2578088,947258,136518,CARTHAGE PUBLIC LIBRARY,Non-Cellular Wireless (e.g.microwave),1,8
2578090,941787,140361,MEEKER INDEP SCHOOL DIST IO-95,Fiber optic/OC-x,1,30
2578094,947270,78482,VJ & ANGELA SKUTT CATHOLIC HSC,Cable,1,80
2578098,947297,77670,ALL SAINTS CATHOLIC SCHOOL,Cable,1,10
2578100,947262,16040956,DAVID ELLIS ACADEMY-WEST,Cable,1,100
2578105,947272,60411,FIRST IMMANUEL LUTHERAN SCH,Cellular Wireless,2,6
2578107,947257,136022,OTTAWA TWP SCHOOL DISTRICT 140,T1/DS-1,2,1.5
2578117,947253,139280,POINTE COUPEE PARISH LIBRARY,Fiber optic/OC-x,1,10
2578118,947257,136022,OTTAWA TWP SCHOOL DISTRICT 140,Fiber optic/OC-x,1,100
2578120,947270,78482,VJ & ANGELA SKUTT CATHOLIC HSC,Cellular Wireless,5,6
2578121,941787,140361,MEEKER INDEP SCHOOL DIST IO-95,Fiber optic/OC-x,1,1000
2578122,947206,132072,EAGLE GROVE COMMUNITY SCH DIST,Fiber optic/OC-x,1,140
2578128,947224,139914,TERRAL SCHOOL DISTRICT 3,T1/DS-1,2,1.5
2578138,947257,136022,OTTAWA TWP SCHOOL DISTRICT 140,Cellular Wireless,2,1
2578138,947257,136022,OTTAWA TWP SCHOOL DISTRICT 140,Cellular Wireless,6,12
2578151,947180,136708,NORTH WAMAC SCHOOL DIST 186,Fiber optic/OC-x,1,100
2578152,947288,141870,PLEMONS-STINNETT-PHILLIPS CISD,Fiber optic/OC-x,38,100
2578161,947187,129345,PERRY COUNTY DISTRICT LIBRARY,T1/DS-1,1,1.5
2578162,947304,155287,GILA COUNTY,Cellular Wireless,2,40
2578168,947272,60411,FIRST IMMANUEL LUTHERAN SCH,Cable,1,50
2578174,947242,127494,ATKINSON COUNTY SCHOOL DIST,Fiber optic/OC-x,1,50
2578179,947273,16049065,DIVINE MERCY,Cable,1,1.5
2578186,947221,128769,JEFFERSON COUNTY PUBLIC SCHOOLS,Cable,17,10
2578187,947276,232051,TULSA SCHOOL OF ARTS AND SCIENCES,Cable,1,50
2578189,947292,37956,ST CECELIA INTERPAROCHIAL SCH,Cable,5,24600
2578190,942443,38341,ST ANN SCHOOL,Cellular Wireless,7,6
2578192,942443,38341,ST ANN SCHOOL,Cable,1,50
2578197,947299,141753,TEXAS SCHOOL FOR THE BLIND,Fiber optic/OC-x,1,1000
2578198,947284,51690,SYCAMORE SCHOOL,Cable,1,50
2578200,947284,51690,SYCAMORE SCHOOL,Cellular Wireless,2,7
2578201,947284,51690,SYCAMORE SCHOOL,Cable,1,50
2578208,947295,78363,HOLY NAME SCHOOL,Fiber optic/OC-x,1,15
2578210,947315,138304,WALTHILL PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2578211,947315,138304,WALTHILL PUBLIC SCHOOL DIST,Dial-up,10,0.056
2578213,947315,138304,WALTHILL PUBLIC SCHOOL DIST,Dial-up,10,0.056
2578215,947309,133825,HENDRICKS SCHOOL DISTRICT 402,Cellular Wireless,2,4
2578216,939544,143269,NEW MEXICO STATE LIBRARY,T1/DS-1,1,1.5
2578217,947309,133825,HENDRICKS SCHOOL DISTRICT 402,Cellular Wireless,2,4
2578219,939544,143269,NEW MEXICO STATE LIBRARY,T1/DS-1,1,1.5
2578221,939544,143269,NEW MEXICO STATE LIBRARY,T1/DS-1,1,1.5
2578223,947312,138142,SAINT FRANCIS UN SCH DIST 297,Fiber optic/OC-x,1,30
2578224,939544,143269,NEW MEXICO STATE LIBRARY,T1/DS-1,1,1.5
2578230,944049,138778,KEARNEY PUBLIC LIBRARY,Cellular Wireless,1,5
2578234,947330,10963,CORPUS CHRISTI SCHOOL,Cellular Wireless,4,7
2578235,947330,10963,CORPUS CHRISTI SCHOOL,Fiber optic/OC-x,1,25
2578236,944049,138778,KEARNEY PUBLIC LIBRARY,Cable,1,50
2578240,947334,72931,ST JOSEPH SCHOOL,Cellular Wireless,1,6
2578241,947334,72931,ST JOSEPH SCHOOL,Fiber optic/OC-x,1,10
2578246,945725,131900,MARSHALLTOWN COMM SCH DISTRICT,Fiber optic/OC-x,12,1000
2578251,947350,133194,HOWARD-SUAMICO SCHOOL DISTRICT,Fiber optic/OC-x,8,500
2578253,947343,64340,CARONDELET CATHOLIC,Cable,1,6
2578273,947187,129345,PERRY COUNTY DISTRICT LIBRARY,Fiber optic/OC-x,4,10
2578280,947349,136517,CAMP POINT COMMUNITY UNIT SCHOOL DISTRICT 3,Fiber optic/OC-x,1,35
2578287,947349,136517,CAMP POINT COMMUNITY UNIT SCHOOL DISTRICT 3,Fiber optic/OC-x,1,75
2578289,947349,136517,CAMP POINT COMMUNITY UNIT SCHOOL DISTRICT 3,Fiber optic/OC-x,1,45
2578297,947191,17169,MOTHER OF SORROWS SCHOOL,Cable,1,50
2578300,947368,16065856,TWO ROADS CHARTER SCHOOL,Cable,1,20
2578301,945349,122845,RINGWOOD SCHOOL DISTRICT,Cable,1,15
2578301,945349,122845,RINGWOOD SCHOOL DISTRICT,Fiber optic/OC-x,5,100
2578315,947356,130126,FINDLAY-HANCOCK COUNTY PUBLIC LIBRARY,Cable,1,35
2578320,947393,131157,MAYVILLE DISTRICT PUB LIBRARY,Fiber optic/OC-x,1,10
2578321,947356,130126,FINDLAY-HANCOCK COUNTY PUBLIC LIBRARY,Cellular Wireless,2,5
2578325,946250,16049083,"BI-COUNTY COMMUNITY ACTION PROGRAMS, INC. (BI-CAP)",DSL,1,5
2578328,947387,70887,YESHIVA SHEARIS YISROEL,Cellular Wireless,7,3
2578330,947387,70887,YESHIVA SHEARIS YISROEL,Cable,1,5
2578335,947387,70887,YESHIVA SHEARIS YISROEL,Cellular Wireless,6,3
2578342,943286,138608,EMERSON-HUBBARD COMM SCHOOLS,Fiber optic/OC-x,1,100
2578344,943286,138608,EMERSON-HUBBARD COMM SCHOOLS,Fiber optic/OC-x,1,100
2578348,947356,130126,FINDLAY-HANCOCK COUNTY PUBLIC LIBRARY,DSL,1,45
2578350,946250,16049083,"BI-COUNTY COMMUNITY ACTION PROGRAMS, INC. (BI-CAP)",DSL,1,10
2578359,941347,110269,ANNUNCIATION ELEMENTARY SCHOOL,T1/DS-1,1,1.5
2578370,947408,130638,BLOOMFIELD-E GREENE CO PUB LIB,DSL,2,2
2578380,947403,113892,REGIS HIGH SCHOOL,DSL,1,5
2578392,947426,113896,ST MARY CATHOLIC  SCHOOL,DSL,1,50
2578399,947420,142098,MARATHON INDEP SCHOOL DISTRICT,Cable,1,12
2578400,941370,111743,CHRISTIAN BROS HIGH SCHOOL,Cellular Wireless,30,8
2578406,945383,138705,WAYNE PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,70
2578410,941370,111743,CHRISTIAN BROS HIGH SCHOOL,Cable,10,50
2578416,941370,111743,CHRISTIAN BROS HIGH SCHOOL,Fiber optic/OC-x,1,100
2578424,947407,78431,CREIGHTON PREPARATORY SCHOOL,Fiber optic/OC-x,20,200
2578440,947407,78431,CREIGHTON PREPARATORY SCHOOL,Cellular Wireless,23,7
2578443,936746,143070,COCHISE SCHOOL DISTRICT 26,Cable,1,5
2578460,940193,122759,UNION CITY FREE PUBLIC LIBRARY,Fiber optic/OC-x,2,100
2578461,947445,84686,HOLY FAMILY CATHEDRAL SCHOOL,Cellular Wireless,2,6
2578462,947452,77532,HOLY NAME CATHOLIC SCHOOL,Cable,1,5
2578463,947445,84686,HOLY FAMILY CATHEDRAL SCHOOL,Cable,1,10
2578471,947449,60639,CHRIST CHILD ACADEMY SCHOOL,Cellular Wireless,1,4
2578483,947435,143879,MCFARLAND SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2578485,942972,128663,KEMPER NEWTON REGIONAL LIBRARY,T1/DS-1,1,1.5
2578486,947435,143879,MCFARLAND SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2578493,947454,197549,FOUR STAR LIBRARY DISTRICT,Fiber optic/OC-x,1,5
2578497,947469,52347,CORPUS CHRISTI SCHOOL,Cable,1,50
2578499,947456,138671,PONCA PUBLIC SCHOOL DISTRICT,Dial-up,3,0.056
2578499,947456,138671,PONCA PUBLIC SCHOOL DISTRICT,DSL,1,7
2578501,947456,138671,PONCA PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2578503,947459,77532,HOLY NAME CATHOLIC SCHOOL,Cable,1,28
2578504,947458,73956,ST ROCH SCHOOL,DSL,1,5
2578505,947456,138671,PONCA PUBLIC SCHOOL DISTRICT,Dial-up,12,0.056
2578505,947456,138671,PONCA PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2578512,946457,3650,STRAFFORD ELEMENTARY SCHOOL,Cable,1,25
2578519,942972,128663,KEMPER NEWTON REGIONAL LIBRARY,T1/DS-1,1,1.5
2578531,947461,52539,ST PAUL'S LUTHERAN SCHOOL,Cable,1,50
2578536,947464,98115,LOURDES CATHOLIC SCHOOL,Cellular Wireless,8,7
2578537,947464,98115,LOURDES CATHOLIC SCHOOL,Cable,1,5
2578541,942972,128663,KEMPER NEWTON REGIONAL LIBRARY,T1/DS-1,1,1.5
2578544,947477,60554,ST LAWRENCE SEMINARY HIGH SCH,Cellular Wireless,17,7
2578559,947477,60554,ST LAWRENCE SEMINARY HIGH SCH,Cable,1,10
2578563,947477,60554,ST LAWRENCE SEMINARY HIGH SCH,Cellular Wireless,4,7
2578568,947485,100934,VERBUM DEI HIGH SCHOOL,Cellular Wireless,1,100
2578587,942972,128663,KEMPER NEWTON REGIONAL LIBRARY,DSL,1,64
2578588,947427,140666,CARTHAGE INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2578608,941295,16024701,YUMA CATHOLIC HIGH SCHOOL,Cellular Wireless,7,6
2578609,941295,16024701,YUMA CATHOLIC HIGH SCHOOL,T3/DS-3,1,45
2578610,947282,141440,GANADO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,20
2578613,947312,138142,SAINT FRANCIS UN SCH DIST 297,Fiber optic/OC-x,1,30
2578618,947463,138633,NELIGH-OAKDALE SCHOOL DISTRICT,Fiber optic/OC-x,1,40
2578620,947282,141440,GANADO INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2578622,941374,16055873,CREAN LUTHERAN SOUTH HIGH SCHOOL,Fiber optic/OC-x,1,100
2578626,947463,138633,NELIGH-OAKDALE SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2578627,947437,141755,TEXAS SCHOOL FOR THE DEAF,Fiber optic/OC-x,1,100
2578628,947472,141890,AMARILLO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,0,500
2578632,941407,100564,SINAI AKIBA ACADEMY,T1/DS-1,1,1.5
2578641,947515,194800,BAIS HAMEDRASH AND MESIVTA OF BALTIMORE,T1/DS-1,1,1.5
2578647,947515,194800,BAIS HAMEDRASH AND MESIVTA OF BALTIMORE,Cellular Wireless,2,5
2578655,947501,56187,ST JOHN LUTHERAN SCHOOL,Cable,1,10
2578665,947503,64867,IMMANUEL LUTHERAN SCHOOL,Non-Cellular Wireless (e.g.microwave),1,10
2578668,946653,143437,ELKO COUNTY SCHOOL DISTRICT,DSL,1,100
2578673,947520,134985,HAVRE SCHOOL DISTRICT 16 A,Cellular Wireless,23,3
2578678,947530,141890,AMARILLO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,2,1000
2578679,947522,60806,ST MARY PARISH SCHOOL,Cable,1,35
2578680,947530,141890,AMARILLO INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2578681,947522,60806,ST MARY PARISH SCHOOL,Cellular Wireless,1,6
2578696,947520,134985,HAVRE SCHOOL DISTRICT 16 A,Fiber optic/OC-x,2,100
2578697,947507,61330,DIVINE SAVIOR-HOLY ANGELS H S,Cellular Wireless,5,7
